1827	2215	1762	2253	1892	2253	1827	2139
1914	2165	1849	2127	1979	2127	1914	2241
2001	2215	1936	2253	2066	2253	2001	2139
2088	2165	2023	2127	2153	2127	2088	2241
2175	2215	2110	2253	2240	2253	2175	2139
2262	2165	2197	2127	2327	2127	2262	2241
2349	2215	2284	2253	2414	2253	2349	2139
2436	2165	2371	2127	2501	2127	2436	2241
2523	2215	2458	2253	2588	2253	2523	2139
2610	2165	2545	2127	2675	2127	2610	2241
2697	2215	2632	2253	2762	2253	2697	2139
87	2316	22	2278	152	2278	87	2392
174	2366	109	2404	239	2404	174	2290
261	2316	196	2278	326	2278	261	2392
348	2366	283	2404	413	2404	348	2290
435	2316	370	2278	500	2278	435	2392
522	2366	457	2404	587	2404	522	2290
609	2316	544	2278	674	2278	609	2392
696	2366	631	2404	761	2404	696	2290
783	2316	718	2278	848	2278	783	2392
870	2366	805	2404	935	2404	870	2290
957	2316	892	2278	1022	2278	957	2392
1044	2366	979	2404	1109	2404	1044	2290
1131	2316	1066	2278	1196	2278	1131	2392
1218	2366	1153	2404	1283	2404	1218	2290
1305	2316	1240	2278	1370	2278	1305	2392
1392	2366	1327	2404	1457	2404	1392	2290
1479	2316	1414	2278	1544	2278	1479	2392
1566	2366	1501	2404	1631	2404	1566	2290
1653	2316	1588	2278	1718	2278	1653	2392
1740	2366	1675	2404	1805	2404	1740	2290
1827	2316	1762	2278	1892	2278	1827	2392
1914	2366	1849	2404	1979	2404	1914	2290
2001	2316	1936	2278	2066	2278	2001	2392
2088	2366	2023	2404	2153	2404	2088	2290
2175	2316	2110	2278	2240	2278	2175	2392
2262	2366	2197	2404	2327	2404	2262	2290
2349	2316	2284	2278	2414	2278	2349	2392
2436	2366	2371	2404	2501	2404	2436	2290
2523	2316	2458	2278	2588	2278	2523	2392
2610	2366	2545	2404	2675	2404	2610	2290
2697	2316	2632	2278	2762	2278	2697	2392
